arm,transaction_cost,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
ablation_annual,0.0,3271,4.551411923642965,0.14116733978346718,0.17869935155744418,0.8286858984899255,1.0649106327490172,-0.29614756495213823,0.4766790495349232
ablation_annual,0.005,3271,4.0081287621074635,0.13214867206336023,0.17840878271141034,0.785249792571085,1.0093748893407628,-0.2960746437986356,0.44633566173683
ablation_annual,0.01,3271,3.5199434827045595,0.12323823724405214,0.17842055686216146,0.7409085670868912,0.9506264451144021,-0.2960016526577909,0.41634307152510575
ablation_annual,0.015,3271,3.0810175536077944,0.11443310774854121,0.17872448856686554,0.6959135028776812,0.8883062710487813,-0.29592858117874143,0.3866916378699609
ablation_no_pso,0.0,3503,7.110589346125169,0.162507384355572,0.1737737296194734,0.9540525025319844,1.1836010520403297,-0.3110556699833431,0.5224382643925899
ablation_no_pso,0.005,3503,3.342675874261399,0.11142256238544657,0.17448287047638328,0.693207812766172,0.864089332099464,-0.31473285541894425,0.354022659112379
ablation_no_pso,0.01,3503,1.3314030427506358,0.06278589522037725,0.1761627234867686,0.43419284487413357,0.5422045544836329,-0.34632378656997675,0.18129247154004247
ablation_no_pso,0.015,3503,0.2536146625561271,0.01639322056886794,0.17876689535138365,0.18077595061931673,0.22455860798337468,-0.39667556230027334,0.04132652002509468
equal_weight,0.0,3503,6.76486535669237,0.1588700952118074,0.18299619478791973,0.8977756825494896,1.1373625619416385,-0.30131634804706464,0.5272534870460875
equal_weight,0.005,3503,4.283206136898463,0.12720796562917647,0.1832822189281101,0.7454434243528715,0.9467722952624464,-0.30253003478716833,0.42048045153159097
equal_weight,0.01,3503,2.5961340579525314,0.09644262126929526,0.18393335363834012,0.5929485567278233,0.7546881498354953,-0.30803541503557696,0.31308939349768106
equal_weight,0.015,3503,1.4474706712986287,0.066506952290879,0.18494209626467573,0.44100480750823867,0.5618209381820854,-0.3379064756893966,0.19682059112715006
min_variance,0.0,3503,3.5682291770142616,0.11547840391882147,0.1396596473484785,0.8525335214869127,1.107651539263847,-0.2821995359932741,0.4092083408725866
min_variance,0.005,3503,2.4496032592013046,0.09316626047776011,0.14008589621379958,0.7060845148559682,0.9162325900665477,-0.2844180222012195,0.3275680625183697
min_variance,0.01,3503,1.6101710129959868,0.07145632494334264,0.14084666442425794,0.5605777990671226,0.7251783052305464,-0.2866279003930705,0.2492999629322553
min_variance,0.015,3503,0.9777161439984556,0.05028108254904695,0.14192755177223665,0.41673143109049704,0.5360101671912622,-0.30205063048569536,0.166465742740531
moments_hmm,0.0,3503,8.310137357350204,0.17410000835968753,0.1875269844927068,0.9502478853809234,1.2013333854298724,-0.31868010401890123,0.5463159016333241
moments_hmm,0.005,3503,5.893904197076392,0.1489940946115007,0.18782718023459585,0.8338871862811467,1.0576362858044204,-0.32192041064080734,0.46282897786728244
moments_hmm,0.01,3503,4.10976173566339,0.12450441731584783,0.1884258358680594,0.7174478524239452,0.9107423901858624,-0.32513172224475106,0.38293531143701814
moments_hmm,0.015,3503,2.7902481430632613,0.10059716266268914,0.18931744027641575,0.601415358568987,0.7624500363141697,-0.32832491053403623,0.30639515746479007
moments_hmm_policy,0.0,3503,7.921124583844122,0.17050051005081124,0.1905506233883075,0.9221268958166481,1.1601841338242784,-0.3004945242941466,0.5673997236765371
moments_hmm_policy,0.005,3503,6.132049470371761,0.15180463688092538,0.1908207182073448,0.8366668486348758,1.0535993252397806,-0.3014893786495453,0.5035157044699238
moments_hmm_policy,0.01,3503,4.707515196287964,0.13348961606619802,0.19131786453319044,0.7511724694808519,0.9465069123271834,-0.3024745731486823,0.44132508288748223
moments_hmm_policy,0.015,3503,3.5686669305608474,0.11548609317002856,0.192033368622282,0.6656889646731331,0.8382205963366403,-0.3161872566217425,0.3652458812031933
moments_longwindow,0.0,3503,8.093585531944301,0.1721138946370746,0.18973531609733765,0.9324943103512251,1.1675311609090377,-0.3139577025691729,0.5482072687774033
moments_longwindow,0.005,3503,6.096865002017601,0.1513949311124545,0.18995089362770318,0.8377072795288605,1.051909775643717,-0.3161519142706306,0.47886767177015493
moments_longwindow,0.01,3503,4.543855460570912,0.13111976751305088,0.19036919324546764,0.7429159537554566,0.9345792509906575,-0.3213411349215236,0.4080391623222228
moments_longwindow,0.015,3503,3.333443914318001,0.11125242298413429,0.1909846016768619,0.6483182310744454,0.8157637015802937,-0.3364743284502396,0.3306416376445407
moments_oracle,0.0,3503,8.661494648146439,0.17723306493925728,0.1873449548765242,0.9652491655199896,1.2147812681570354,-0.31652634214626096,0.5599314854413007
