date,blend,best_standard,median_standard,best_long,headroom,typical_shortfall,long_run_wins
2011-01-03,0.0,0.09411225811431674,0.06075592514629857,0.09086243931504638,-0.0345313019194891,0.4955321492718967,False
2011-01-03,0.5,0.13744011889113597,0.10895284609816008,0.141712254148537,0.031083611480174248,0.30067510141830184,True
2011-01-03,1.0,0.15977525217949134,0.10979480973138808,0.1773433607881941,0.10995512990313894,0.6152253573922382,True
2013-10-21,0.0,0.29901091509078204,0.2709867071140327,0.3006466814160181,0.0054705906797396075,0.10945176838325238,True
2013-10-21,0.5,0.35204044311272675,0.33114294129689126,0.36346392900177704,0.03244935663653956,0.09760433841139289,True
2013-10-21,1.0,0.39551531935290624,0.3354613682801918,0.40768201663180015,0.030761633452781482,0.2152875269121497,True
2016-08-08,0.0,0.11003041820577572,0.08979181223573898,0.10895233052929361,-0.009798087602156553,0.21338825686300547,False
2016-08-08,0.5,0.1412771293252828,0.12336429140434002,0.1506775335285696,0.06653875434885778,0.22140314521572077,True
2016-08-08,1.0,0.16023144472092635,0.13144224602247104,0.1835454649720379,0.14550215341138162,0.39639629210732913,True
2019-05-28,0.0,0.02967331711640487,0.006746208495682909,0.03086294522715307,0.04009083669619516,3.5748578993523767,True
2019-05-28,0.5,0.06359691463250684,0.04746342015466436,0.07015925819246914,0.10318650830598675,0.47817536039012987,True
2019-05-28,1.0,0.08548821171653503,0.051935092921053194,0.09721750439564572,0.13720362660062546,0.8719039271466512,True
2022-03-11,0.0,0.1337382848044082,0.09643652670116222,0.16204049304234774,0.21162383142068436,0.6802813061121464,True
2022-03-11,0.5,0.18894598972260201,0.16695875566843354,0.21844546860732675,0.15612651492648197,0.30837983149048864,True
2022-03-11,1.0,0.23928566307511384,0.17752154780760174,0.2650401187051168,0.10763058387630353,0.49300252267047534,True
2024-12-31,0.0,0.4343713428160258,0.3749530062050118,0.45324838007355384,0.04345829339281078,0.2088138315278174,True
2024-12-31,0.5,0.5026660704713282,0.46523422754567423,0.5334346351364645,0.061210745010670774,0.1465937017372496,True
2024-12-31,1.0,0.5395884539244342,0.4750380056688487,0.5594626961362811,0.036832222904884686,0.17772197057909775,True
