arm,regime,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
ablation_annual,CALM,2807.0,2.060693948500379,0.10564257706938496,0.17391556607575592,0.6647502326743814,0.8376402148886638,-0.29600165265779055,0.356898605534203
ablation_annual,CRISIS,254.0,0.11901713864439745,0.11802675582293465,0.2274831703312769,0.6042205375130666,0.8258291995930019,-0.1631717167300314,0.723328516658378
ablation_annual,TURBULENT,209.0,0.33290051330938764,0.4140794933299534,0.17066723180013363,2.1157787151037977,3.598327059892118,-0.07821285069650308,5.29426417324624
ablation_no_pso,CALM,3039.0,0.3616537355776488,0.02592846382122227,0.1736402465909451,0.23473424788471942,0.2856999187397677,-0.3684772158525066,0.07036653205608476
ablation_no_pso,CRISIS,254.0,0.2500563912697835,0.24786148257748608,0.20202676688881482,1.197335556063416,1.7140955986156052,-0.16777165234120206,1.4773740326131082
ablation_no_pso,TURBULENT,209.0,0.38338303670586926,0.47890464876164485,0.17804992866338576,2.2875689251169424,3.658155066991972,-0.08761492720587638,5.466016625640984
equal_weight,CALM,3039.0,1.2071818912860666,0.06785368258821745,0.18233400817093565,0.45166241897072806,0.5648007953003693,-0.3037533713807683,0.2233841299596963
equal_weight,CRISIS,254.0,0.16401146123680022,0.16262031700608626,0.19828996604761462,0.8591353584168198,1.1885698965967741,-0.17822143799289236,0.9124621529121076
equal_weight,TURBULENT,209.0,0.4137150000450023,0.518090145057279,0.18864545125435958,2.3080649323793114,3.58596113879484,-0.08628064867876162,6.004708506379244
lowvol_screen,CALM,3039.0,1.859645971358249,0.09103411960185026,0.13458200617244287,0.7149333972604152,0.868490261909971,-0.28319029512862903,0.32145917839628396
lowvol_screen,CRISIS,254.0,0.08948617262541902,0.08875117890966022,0.16071986720352574,0.6094738814816815,0.8094942472732257,-0.14826578939837198,0.5985951261568283
lowvol_screen,TURBULENT,209.0,0.2516585805060505,0.31081917179082397,0.14186218886301974,1.978996207088337,3.414364566814748,-0.06246779356509746,4.975670726498775
min_variance,CALM,3039.0,1.0883232248708672,0.06296330134370187,0.13757492474074887,0.5127417684726642,0.6557559813942098,-0.2956351994295163,0.2129763352442517
min_variance,CRISIS,254.0,-0.00023766830005544914,-0.00023579711677124138,0.16328165507561343,0.08036229790893588,0.10041631133344193,-0.11049420525665576,-0.002134022469536137
min_variance,TURBULENT,209.0,0.26268740352399833,0.32475821269006766,0.15746135491629,1.864845703951416,3.1438558769690097,-0.08275392148644878,3.9243845712284204
